Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
Rouge,204,N 43.81566°,O 079.14676°,65,1295,1,1,1,,,,,
Rouge,205,N 43.81561°,O 079.14621°,2,1296,0,1,0,,,,,
Rouge,206,N 43.81565°,O 079.14598°,0,1297,0,0,0,,,,,
Rouge,207,N 43.81572°,O 079.14574°,1,1298,0,0,1,,,,,
Rouge,208,N 43.81582°,O 079.14558°,0,1299,0,1,0,,,,,
Rouge,209,N 43.81582°,O 079.14539°,2,1300,0,0,1,,,,,
Rouge,210,N 43.81591°,O 079.14519°,0,1301,0,1,0,,,,,
Rouge,211,N 43.81604°,O 079.14503°,19,1302,0,1,0,,,,,
Rouge,212,N 43.81598°,O 079.14475°,2,1303,1,1,1,,,,,
Rouge,213,N 43.81608°,O 079.14456°,8,1304,0,1,0,,,,,
Rouge,214,N 43.81618°,O 079.14435°,0,1305,1,1,1,,,,,
Rouge,215,N 43.81607°,O 079.14413°,0,1306,0,0,0,,,,,
Rouge,216,N 43.81613°,O 079.14391°,2,1307,1,1,1,,,,,
Rouge,217,N 43.81619°,O 079.14365°,0,1308,1,1,1,,,,,
Rouge,218,N 43.81638°,O 079.14358°,1,1309,0,1,0,,,,,
Rouge,219,N 43.81643°,O 079.14332°,0,1310,0,1,0,,,,,
Rouge,220,N 43.81646°,O 079.14307°,1,1311,1,1,1,,,,,
Rouge,221,N 43.81656°,O 079.14286°,0,1312,0,0,0,,,,,
Rouge,222,N 43.81654°,O 079.14260°,0,1313,1,1,1,,,,,
Rouge,223,N 43.81664°,O 079.14237°,0,1314,1,1,1,,,,,
Rouge,224,N 43.81667°,O 079.14215°,12,1315,0,1,0,,,,,
Rouge,225,N 43.81660°,O 079.14188°,3,1316,0,0,1,,,,,
Rouge,226,N 43.81666°,O 079.14161°,2,1317,0,0,0,,,,,
Rouge,227,N 43.81670°,O 079.14136°,0,1318,0,1,0,,,,,
Rouge,228,N 43.81677°,O 079.14109°,0,1319,0,1,0,,,,,
Rouge,229,N 43.81681°,O 079.14088°,0,1320,0,1,0,,,,,
Rouge,230,N 43.81688°,O 079.14066°,3,1321,0,1,0,,,,,
Rouge,231,N 43.81689°,O 079.14044°,0,1322,1,1,1,,,,,
Rouge,232,N 43.81694°,O 079.14018°,2,1323,0,1,0,,,,,
Rouge,233,N 43.81701°,O 079.13998°,2,1324,1,1,1,,,,,
Rouge,234,N 43.81705°,O 079.13973°,0,1325,0,1,0,,,,,
Rouge,235,N 43.81714°,O 079.13939°,0,1326,0,1,0,,,,,
Rouge,236,N 43.81719°,O 079.13917°,0,1327,0,1,0,,,,,
Rouge,237,N 43.81723°,O 079.13892°,0,1328,0,1,0,,,,,
Rouge,238,N 43.81727°,O 079.13866°,0,1329,0,1,0,,,,,
Rouge,239,N 43.81730°,O 079.13846°,0,1330,1,1,1,,,,,
Rouge,240,N 43.81738°,O 079.13824°,0,1331,0,0,0,,,,,
Rouge,241,N 43.81745°,O 079.13801°,0,1332,1,1,1,,,,,
Rouge,242,N 43.81749°,O 079.13775°,0,1333,0,0,0,,,,,
Rouge,243,N 43.81752°,O 079.13750°,4,1334,0,0,0,,,,,
Rouge,244,N 43.81757°,O 079.13731°,0,1335,0,0,0,,,,,
Rouge,245,N 43.81765°,O 079.13698°,0,1336,0,1,0,,,,,
Rouge,246,N 43.81763°,O 079.13673°,0,1337,0,0,0,,,,,
Rouge,247,N 43.81771°,O 079.13638°,0,1338,0,1,0,,,,,
Rouge,248,N 43.81783°,O 079.13615°,0,1339,0,0,1,,,,,
Rouge,249,N 43.81796°,O 079.13595°,6,1340,0,1,0,,,,,
Rouge,250,N 43.81797°,O 079.13573°,0,1341,1,1,1,,,,,
Rouge,251,N 43.81800°,O 079.13548°,0,1342,0,0,0,,,,,
Rouge,252,N 43.81807°,O 079.13519°,0,1343,1,1,1,,,,,
Rouge,253,N 43.81811°,O 079.13495°,0,1344,1,1,1,,,,,
Rouge,254,N 43.81818°,O 079.13456°,10,1345,0,0,1,,,,,
