Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,Vegetation cover m²,Asphalt m²,% Vegetation,% Asphalt,,,HCN,,,,,,,,,Centre park,
Humber,130,N 43.64366°,O 079.51194°,0,443,0,0,0,162.04,151.96,51.60509554,48.39490446,,,,,,,,,,,,,
Humber,131,N 43.64365°,O 079.51218°,1,444,1,1,1,116.38,197.62,37.06369427,62.93630573,,,,,,,,,,,,,
Humber,132,N 43.64357°,O 079.51244°,0,445,0,1,0,114.27,199.73,36.39171975,63.60828025,,,,,,,,,,,,,
Humber,133,N 43.64351°,O 079.51268°,0,446,0,0,1,131.4,182.6,41.84713376,58.15286624,,,,,,,,,,,,,
Humber,134,N 43.64347°,O 079.51296°,0,447,0,0,0,103.73,210.27,33.03503185,66.96496815,,,,,,,,,,,,,
Humber,135,N 43.64343°,O 079.51321°,0,448,0,1,0,183.43,130.57,58.41719745,41.58280255,,,,,,,,,,,,,
Humber,136,N 43.64334°,O 079.51345°,0,449,1,1,1,158.89,155.11,50.60191083,49.39808917,,,,,,,,,,,,,
Humber,137,N 43.64329°,O 079.51369°,0,450,0,0,0,158.96,155.04,50.62420382,49.37579618,,,,,,,,,,,,,
Humber,138,N 43.64328°,O 079.51393°,0,451,0,1,0,143.23,170.77,45.61464968,54.38535032,,,,,,,,,,,,,
Humber,139,N 43.64321°,O 079.51414°,0,452,0,1,0,112.62,201.38,35.86624204,64.13375796,,,,,,,,,,,,,
Humber,140,N 43.64318°,O 079.51440°,0,453,1,1,1,141.15,172.85,44.9522293,55.0477707,,,,,,,,,,,,,
Humber,141,N 43.64320°,O 079.51466°,0,454,1,1,1,186.65,127.35,59.44267516,40.55732484,,,,,,,,,,,,,
Humber,142,N 43.64296°,O 079.51540°,0,455,1,1,1,81.11,232.89,25.83121019,74.16878981,,,,,,,,,,,,,
Humber,143,N 43.64294°,O 079.51564°,0,456,0,1,0,157.15,156.85,50.0477707,49.9522293,,,,,,,,,,,,,
Humber,144,N 43.64288°,O 079.51587°,0,457,0,0,1,152.8,161.2,48.66242038,51.33757962,,,,,,,,,,,,,
Humber,145,N 43.64288°,O 079.51611°,0,458,0,1,0,226,88,71.97452229,28.02547771,,,,,,,,,,,,,
Humber,146,N 43.64282°,O 079.51634°,0,459,1,1,1,177.14,136.86,56.41401274,43.58598726,,,,,,,,,,,,,
